Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA
CHEMBL574814,23000,nM,Brc1cc(C=C2C(=O)NC(=O)S2)c(OCc2ccc(F)cc2)cc1,-6.033371,4.638272164,1,-8.58,-8.7
CHEMBL582941,15000,nM,FC(F)(F)c1ccc(COc2c(C=C3C(=O)NC(=O)S3)cc(F)cc2)cc1,-6.149879,4.823908741,1,-8.91,-9.4
CHEMBL575043,8000,nM,FC(F)(F)c1cc(C(F)(F)F)cc(COc2c(C=C3C(=O)NC(=O)S3)cc(F)cc2)c1,-6.7583799,5.096910013,1,-9.45,-9.6
CHEMBL426796,16000,nM,O(Cc1ccccc1)c1c(C=C2C(=O)NC(=O)S2)cc(-c2ccccc2)cc1,-6.2887101,4.795880017,1,-8.27,-9.2
CHEMBL315736,64000,nM,O(Cc1ccccc1)c1ccc(C=C2C(=O)NC(=O)S2)cc1,-5.8845782,4.193820026,1,-8.3,-8.7
CHEMBL576191,14000,nM,FC(F)(F)c1ccc(COc2ccc(C=C3C(=O)NC(=O)S3)cc2)cc1,-6.3579874,4.853871964,1,-8.4,-9
CHEMBL582968,68000,nM,Fc1ccc(COc2ccc(C=C3C(=O)NC(=O)S3)cc2)cc1,-5.9733834,4.167491087,1,-8.36,-8.8
CHEMBL575024,15000,nM,Brc1c(OCc2ccccc2)ccc(C=C2C(=O)NC(=O)S2)c1,-5.6962419,4.823908741,1,-8.88,-8.9
CHEMBL575025,5000,nM,Brc1c(OCc2ccc(C(F)(F)F)cc2)ccc(C=C2C(=O)NC(=O)S2)c1,-6.6882148,5.301029996,1,-8.98,-9
CHEMBL574377,9000,nM,O(Cc1ccccc1)c1c(-c2ccccc2)cc(C=C2C(=O)NC(=O)S2)cc1,-6.401144,5.045757491,1,-8.8,-8.5
CHEMBL572574,6000,nM,FC(F)(F)c1ccc(COc2c(-c3ccccc3)cc(C=C3C(=O)NC(=O)S3)cc2)cc1,-6.7962351,5.22184875,1,-8.81,-8.3
CHEMBL583504,640,nM,O=C(n1ncc2c1C(C)(C)C1C(C)(C3C(C)(C4(C)C(C5C(C(=O)O)(CC4)CCC(C)(C)C5)=CC3)CC1)C2)c1cnccc1,-4.9644384,6.193820026,1,-5.87,-9.5
CHEMBL555056,610,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6[nH]c7c(c6C5)cccc7)CC4)CC=3)CC1)CC(C)(C)CC2,-4.6667037,6.214670165,1,-4.03,-7.8
CHEMBL583505,810,nM,O=C(n1ncc2c1C(C)(C)C1C(C)(C3C(C)(C4(C)C(C5C(C(=O)O)(CC4)CCC(C)(C)C5)=CC3)CC1)C2)c1ccncc1,-4.6699166,6.091514981,1,-6.15,-9.7
CHEMBL574276,1480,nM,O=C(C)n1ncc2c1C(C)(C)C1C(C)(C3C(C)(C4(C)C(C5C(C(=O)O)(CC4)CCC(C)(C)C5)=CC3)CC1)C2,-4.7313318,5.829738285,1,-4.6,-6.5
CHEMBL201515,5930,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)C(O)C(O)C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.0771894,5.226945307,1,-4.24,-6.2
CHEMBL572978,1750,nM,O=C(CCCCC)n1ncc2c1C(C)(C)C1C(C)(C3C(C)(C4(C)C(C5C(C(=O)O)(CC4)CCC(C)(C)C5)=CC3)CC1)C2,-5.4034972,5.756961951,1,-4.73,-7
CHEMBL573496,1780,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)C6=NC(=N)NC=C6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.3166971,5.749579998,1,-4.52,-8.2
CHEMBL578429,1920,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)C=6NC(=N)SC=6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.3217463,5.716698771,1,-4.06,-7.9
CHEMBL562059,1790,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6nccnc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.3614836,5.747146969,1,-3.47,-7.2
CHEMBL572899,1390,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6n(-c7ccccc7)ncc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.6100945,5.8569852,1,-4.89,-8.7
CHEMBL541940,1430,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6nc7c(nc6C5)cccc7)CC4)CC=3)CC1)CC(C)(C)CC2,-5.5381403,5.844663963,1,-4.52,-8.6
CHEMBL574391,1650,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6n[nH]cc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.4685435,5.782516056,1,-4.09,-7.2
CHEMBL576164,2730,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6ncncc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-3.9294381,5.563837353,1,-4.14,-7.5
CHEMBL575688,2610,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6nc(C)ncc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.3680406,5.583359493,1,-4.04,-8.2
CHEMBL582862,2600,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)c6oncc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.2900596,5.585026652,1,-3.74,-6.9
CHEMBL572974,5440,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)C6=NC(=NC)NC=C6C5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.8366838,5.2644011,1,-4.36,-7.2
CHEMBL584481,420,nM,S(=O)(=O)(O)CCN1C(=O)C(=Cc2c(-c3ccc(OCc4c(F)cccc4)cc3)nn(-c3ccccc3)c2)SC1=S,-8.0136862,6.37675071,1,-8.45,-7.8
CHEMBL565795,460,nM,Clc1ccc(COc2ccc(-c3c(C=C4C(=O)N(CCS(=O)(=O)O)C(=S)S4)cn(-c4ccccc4)n3)cc2)cc1,-9.1688852,6.337242168,1,-8.97,-8.1
CHEMBL567069,590,nM,Clc1c(COc2ccc(-c3c(C=C4C(=O)N(CCS(=O)(=O)O)C(=S)S4)cn(-c4ccccc4)n3)cc2)cccc1,-8.6792469,6.229147988,1,-8.59,-7.8
CHEMBL565810,1800,nM,S(=O)(=O)(O)CCN1C(=O)C(=Cc2c(-c3ccc(OCc4ccccc4)cc3)nn(-c3ccccc3)c2)SC1=S,-6.7879553,5.744727495,1,-8.72,-7.9
CHEMBL565371,2200,nM,S(=O)(=O)(O)CCN1C(=O)C(=Cc2c(-c3ccc(S(=O)(=O)N4CCCCC4)cc3)nn(-c3ccccc3)c2)SC1=S,-8.4125395,5.657577319,1,-9,-7.8
CHEMBL562810,2700,nM,Oc1c(CC=C(CCC=C(CCC=C(C)C)C)C)c(-c2oc3c(c2)ccc(O)c3)cc(O)c1,-6.4910049,5.568636236,1,-5.56,-8
CHEMBL570475,2700,nM,O=C(C=Cc1c(O)cc(O)cc1)c1c(O)c(c(O)cc1)C1C(C(=O)c2cc(O)c(CC=C(C)C)c(O)c2)C(c2c(O)cc(O)cc2)CC(C)=C1,-7.0200105,5.568636236,1,-7.19,-8.1
CHEMBL517247,4300,nM,Oc1c(CC=C(C)C)c(-c2oc3c(CC=C(CCC=C(C)C)C)c(O)ccc3c2)cc(O)c1,-6.1492534,5.366531544,1,-5.85,-8.1
CHEMBL570526,8200,nM,O=C(C=Cc1ccc(O)cc1)c1c(O)c(c(O)cc1)C1C(C(=O)c2cc(O)c(CC=C(C)C)c(O)c2)C(c2c(O)cc(O)cc2)CC(C)=C1,-6.0888457,5.086186148,1,-6.81,-7.8
CHEMBL564896,9200,nM,Oc1c(CC=C(CCC=C(C)C)C)c(-c2oc3c(c2)ccc(O)c3)cc(O)c1,-5.8378077,5.036212173,1,-5.96,-7.4
CHEMBL570609,13800,nM,O=C(C=Cc1ccc(O)cc1)c1c(O)c(c(O)cc1)C1C(C(=O)c2cc(O)c(CC=C(C)C)c(O)c2)C(c2ccc(O)cc2)CC(C)=C1,-6.0983305,4.860120914,1,-6.35,-7.8
CHEMBL139702,19100,nM,O=C(C=Cc1c(OC)cc(O)c(C(C=C)(C)C)c1)c1ccc(O)cc1,-6.2931633,4.718966633,1,-4.78,-7.2
CHEMBL141207,30900,nM,O=C(C=Cc1c(OC)c(CC=C(C)C)c(O)cc1)c1ccc(O)cc1,-5.7921424,4.510041521,1,-5.62,-7.8
CHEMBL578609,20700,nM,O=C(C=Cc1c(OC)cc(O)c(C(C(=C)C)C)c1)c1ccc(O)cc1,-6.4264183,4.684029655,1,-4.88,-7.2
CHEMBL566051,11700,nM,O=C(C=Cc1c(OC)cc(O)c(C(C=C)(C)C)c1)c1ccc(OC)cc1,-6.2605405,4.931814138,1,-4.91,-7.4
